datetime,000001.SH,cash,commission,direction,signal,total,returns,equity_curve,drawdown,open,high,low,close,volume,,,
2011-04-11,4161.156,8121.594,90,1,0,12282.75,-0.005888066,2.45655,0.01455,3037.91,3059.568,3019.886,3022.746,182751284.055,,,
2011-04-12,4147.386,8121.594,90,1,0,12268.98,-0.0011210844,2.453796,0.017304,3012.795,3039.124,3003.445,3021.369,165602471.86,,,
2011-04-13,4437.676,8121.594,90,1,0,12559.27,0.0236604836,2.511854,0,3006.83,3050.401,2994.465,3050.398,147378535.6859,,,
2011-04-14,4360.046,8121.594,90,1,0,12481.64,-0.0061810917,2.496328,0.015526,3049.667,3058.239,3036.726,3042.635,148647665.913,,,
2011-04-15,4438.956,8121.594,90,1,0,12560.55,0.0063220859,2.51211,0,3036.345,3062.53,3020.156,3050.526,148683828.4492,,,
2011-04-18,4506.986,8121.594,90,1,0,12628.58,0.0054161641,2.525716,0,3040.531,3067.456,3037.189,3057.329,160812208.617,,,
2011-04-19,3924.106,8121.594,90,1,0,12045.7,-0.0461556248,2.40914,0.116576,3038.807,3038.807,2996.222,2999.041,166127877.517,,,
2011-04-20,4004.066,8121.594,90,1,0,12125.66,0.0066380534,2.425132,0.100584,3005.975,3019.123,2992.672,3007.037,143797579.09,,,
2011-04-21,4200.376,8121.594,90,1,-1,12321.97,0.0161896342,2.464394,0.061322,3021.77,3035.471,3012.544,3026.668,147387019.394,,,
2011-04-22,3188.178,9290.302,100,-1,0,12478.48,0.0127017027,2.495696,0.03002,3025.699,3032.965,3004.465,3010.517,137406934.391,,,
2011-04-25,3643.838,9290.302,100,-1,0,12934.14,0.0365156654,2.586828,0,3003.031,3003.61,2964.643,2964.951,140504366.096,,,
2011-04-26,3903.538,9290.302,100,-1,0,13193.84,0.0200786446,2.638768,0,2956.949,2970.278,2931.502,2938.981,112451141.163,,,
2011-04-27,4039.268,9290.302,100,-1,0,13329.57,0.0102873765,2.665914,0,2946.327,2961.133,2907.662,2925.408,114841130.9589,,,
2011-04-28,4422.908,9290.302,100,-1,0,13713.21,0.0287811235,2.742642,0,2937.947,2953.193,2884.839,2887.044,115790131.501,,,
2011-04-29,4178.238,9290.302,100,-1,0,13468.54,-0.0178419203,2.693708,0.048934,2886.629,2913.556,2871.01,2911.511,93221530.227,,,
2011-05-03,3971.468,9290.302,100,-1,0,13261.77,-0.0153520723,2.652354,0.090288,2911.51,2933.46,2890.225,2932.188,102708976.573,,,
2011-05-04,4633.178,9290.302,100,-1,0,13923.48,0.0498960546,2.784696,0,2916.845,2916.97,2860.075,2866.017,125355694.4872,,,
2011-05-05,4569.308,9290.302,100,-1,0,13859.61,-0.0045872153,2.771922,0.012774,2854.768,2880.125,2849.91,2872.404,98812236.3903,,,
2011-05-06,4654.488,9290.302,100,-1,0,13944.79,0.0061459161,2.788958,0,2842.765,2881.706,2834.456,2863.886,105181008.3986,,,
2011-05-09,4568.748,9290.302,100,-1,0,13859.05,-0.0061485329,2.77181,0.017148,2868.235,2885.178,2861.42,2872.46,94006376.4978,,,
2011-05-10,4387.008,9290.302,100,-1,0,13677.31,-0.0131134529,2.735462,0.053496,2876.98,2891.034,2865.104,2890.634,96056705.12,,,
